prognosis,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,symptom9,symptom10,symptom11,symptom12,symptom13,symptom14,Unnamed:15,Unnamed:16,Unnamed:17
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,shivering,chills,watering_from_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,continuous_sneezing,chills,watering_from_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,continuous_sneezing,shivering,watering_from_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,continuous_sneezing,shivering,chills,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,shivering,chills,watering_from_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,continuous_sneezing,chills,watering_from_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,continuous_sneezing,shivering,watering_from_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,continuous_sneezing,shivering,chills,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Chroniccholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_urination,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,stomach_pain,burning_micturition,spotting_urination,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,skin_rash,burning_micturition,spotting_urination,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,skin_rash,stomach_pain,spotting_urination,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,skin_rash,stomach_pain,burning_micturition,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,skin_rash,stomach_pain,burning_micturition,spotting_urination,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,stomach_pain,burning_micturition,spotting_urination,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,skin_rash,burning_micturition,spotting_urination,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,skin_rash,stomach_pain,spotting_urination,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
DrugReaction,itching,skin_rash,stomach_pain,burning_micturition,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Pepticulcerdiseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,patches_in_throat,high_fever,extra_marital_contacts,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,muscle_wasting,high_fever,extra_marital_contacts,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,muscle_wasting,patches_in_throat,high_fever,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,patches_in_throat,high_fever,extra_marital_contacts,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,muscle_wasting,high_fever,extra_marital_contacts,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
AIDS,muscle_wasting,patches_in_throat,high_fever,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,vomiting,dehydration,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,vomiting,sunken_eyes,dehydration,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,vomiting,dehydration,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,fatigue,cough,high_fever,family_history,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,fatigue,cough,high_fever,breathlessness,family_history,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
BronchialAsthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
